name,spearman,spearman_abs,mi_reg,mi_clf,rf_reg,rf_clf,rank_spearman_abs,rank_mi_reg,rank_mi_clf,rank_rf_reg,rank_rf_clf,consensus_score
tc,-0.03521366200089205,0.03521366200089205,0.0,0.16174113860323325,0.08253076547721501,0.34529087589169083,3,15,3,4,2,63
tg,-0.0157614110431769,0.0157614110431769,0.0,0.18114949700505045,0.0837381811247425,0.34972343086519664,10,14,1,3,1,61
adl_eat,-0.07878031979698581,0.07878031979698581,0.0007673808961725648,0.0,0.04511680180946178,0.006677480217916257,1,6,8,8,8,59
bmi,-0.02202513215730273,0.02202513215730273,0.059481932528403725,0.0,0.10190663143258091,0.011321166765458789,7,1,17,1,6,58
hdl,0.01389841673447479,0.01389841673447479,0.0,0.05398329287142167,0.08141923004561748,0.03728559734101736,11,13,4,5,5,52
adl_toilet,-0.03537398697704509,0.03537398697704509,0.0,0.0,0.04445999617309488,0.005062196656556055,2,7,7,9,16,49
ldl,0.009876766064914007,0.009876766064914007,0.0,0.04207377676355706,0.07532383267907768,0.054213880581412424,13,12,5,7,4,49
uric_acid,-0.009622006575595235,0.009622006575595235,0.0,0.17942419444522906,0.07653858688786667,0.1349578519893107,14,17,2,6,3,48
iadl_finance,0.024910269933367923,0.024910269933367923,0.028068539730686126,0.0,0.04391568423303994,0.00538346406347547,5,2,11,10,14,48
adl_bath,0.026873572108708086,0.026873572108708086,0.00112418562754657,0.0,0.042093870046295466,0.0053857215684681515,4,4,14,11,13,44
glucose,-0.02045921551122343,0.02045921551122343,0.0,0.0,0.08653184028315951,0.011147805907221852,8,16,16,2,7,41
iadl_transport,0.023453756454769988,0.023453756454769988,0.0,0.0,0.040904589914490405,0.005138791398585383,6,10,10,13,15,36
iadl_medication,-0.011501960881670253,0.011501960881670253,0.0,0.013325204022052839,0.0397130730477187,0.00561570504847737,12,11,6,14,12,35
iadl_cook,-0.0050757937220191,0.0050757937220191,0.01276238568886301,0.0,0.038969681503840004,0.005881694770199201,15,3,12,15,11,34
iadl_shop,0.01615482029549531,0.01615482029549531,0.0,0.0,0.03718074405309563,0.006064087798276614,9,8,13,17,10,33
adl_dress,-0.0031144258894378767,0.0031144258894378767,0.0008175498764630973,0.0,0.03873069080814164,0.006086547027608198,16,5,15,16,9,29
adl_walk,-0.0014172337634671898,0.0014172337634671898,0.0,0.0,0.04092580048056179,0.004763702109128893,17,9,9,12,17,26
