feature,spearman_r,spearman_p
adl_bath,0.026873572108708086,0.3959328221886522
iadl_finance,0.024910269933367923,0.43135869146906947
iadl_transport,0.023453756454769988,0.4587861036041069
iadl_total,0.0204773026044719,0.5177568082810753
iadl_shop,0.01615482029549531,0.6098730858425797
hdl,0.013898663370723688,0.660671810513504
ldl,0.009852960936907441,0.7556517456842415
adl_walk,-0.0014172337634671898,0.964297942254623
adl_dress,-0.0031144258894378767,0.9216433763085969
iadl_cook,-0.0050757937220191,0.8726361180296008
uric_acid,-0.009622006575595235,0.7612032876719169
iadl_medication,-0.011501960881670253,0.7163949556447394
tg,-0.0157614110431769,0.6186058991575422
activity_total,-0.017826971319360417,0.5733817731729224
glucose,-0.020438266269235842,0.518555408585338
bmi,-0.02201474049642922,0.48681670002240657
tc,-0.03521366200089205,0.26592062844374437
adl_toilet,-0.03537398697704509,0.2637488199679149
adl_total,-0.053203517473315774,0.09266007118241285
adl_eat,-0.07878031979698581,0.012702227978246555
