feature,importance
uric_acid,0.33091494950247574
glucose,0.05606356209988721
bmi,0.050390238281064904
blood_stasis,0.049819062180238426
qi_stagnation,0.04701849344681702
yin_deficiency,0.046451310073909756
yang_deficiency,0.04433890814817952
damp_heat,0.043233744088897505
qi_deficiency,0.0430421017752406
special_diathesis,0.04284088429735685
iadl_total,0.04281520242211018
balanced,0.039931245608358944
phlegm_dampness,0.03765851877591707
activity_total,0.03692860404484778
adl_total,0.03319366360651098
age_group,0.018859751975748924
sex,0.016849063309102984
smoke,0.011901294257576493
drink,0.007749402105759217
